Country,Region,Year,v2x_polyarchy,v2x_libdem,v2x_regime,Digital Repression Index 2021,Gov SM surveillance v2smgovsmmon,Gov disinfo v2smgovdom,Pol party disinfo v2smpardom,Gov filtering v2smgovfilprc,Gov internet shutdowns v2smgovshut,Gov SM Shutdown v2smgovsm,Gov SM censorship v2smgovsmcenprc,Arrests online users (v2smarrest),Country,Region,V-Dem Electoral Democracy Index 2021,V-Dem Regime Type 2021,Feldstein Digital Repression Index 2021,Freedom on the Net 2021 Status,Freedom on the Net 2021 Score,Military Expenditures (USD) 2018,Military Expenditures Ranking (2018),Member of Belt & Road Initiative,China ODI Rank (EIU),Safe City System,Facial Recognition System,Smart Policing,Social Media Surveillance,China Tech,US Tech,Other Countries,Company 1,Company 2,Company 3,Company 4,Company 5
Ghana,AFR,2021,0.663,0.568,ED,-0.7751492857933044,-0.93,-1.219,0.399,-1.136,-1.285,-1.664,-1.832,-0.705,Ghana,AF,0.663,ED,-0.7751492857933044,PARTLY FREE,64.0,218.44425359219503,110.0,1,,1,0,1,0,1,0,0,Huawei,0,0,0,0
Greece,EUR,2021,0.797,0.668,LD,-1.0740736722946167,-1.53,-1.012,-0.083,-1.823,-1.756,-1.693,-1.599,-2.439,Indonesia,EAP,0.585,ED,-0.08319711685180664,PARTLY FREE,48.0,7437.1973477386355,26.0,1,26.0,1,1,1,1,1,1,"Indonesia, Japan",NEC,PT Industri Telekomunikasi Indonesia,Huawei,0,0
Guatemala,WHA,2021,0.502,0.324,ED,-0.5729864835739136,-0.25,1.233,0.695,-1.449,-1.753,-1.76,-2.068,-0.869,Jamaica,WHA,0.806,ED,-1.063205599784851,NO DATA,,207.77268579533634,112.0,1,,0,1,1,0,0,0,0,0,0,0,0,0
Guinea,AFR,2021,0.279,0.111,CA,0.9476723670959473,-0.075,0.803,0.553,0.412,1.454,0.602,2.379,2.089,Malta,EUR,0.777,ED,-0.5852514505386353,NO DATA,,69.28460984620469,128.0,1,,1,1,1,0,1,0,0,Huawei,0,0,0,0
Guinea-Bissau,AFR,2021,0.557,0.357,ED,-0.14531932771205902,-0.05,-0.501,0.463,-0.381,-0.597,-0.518,-0.573,-0.127,Mauritius,AF,0.593,ED,0.17764349281787872,NO DATA,,23.202895561244578,141.0,0,,1,0,1,0,1,0,0,Huawei,0,0,0,0
Guyana,WHA,2021,0.537,0.367,ED,-0.29603642225265503,0.262,0.783,1.031,-1.255,-1.662,-1.111,-0.6,-0.707,Mexico,WHA,0.628,ED,-0.5189091563224792,PARTLY FREE,60.0,6567.509335988758,31.0,0,44.0,1,1,1,0,1,1,"France, Mexico, Russia",Dahua,InfiNet,Telmex,Thales,Axxonsoft
Haiti,WHA,2021,0.353,0.21,EA,-0.23990420997142792,-1.002,1.677,1.403,-1.387,-0.402,-1.646,-1.757,0.359,Moldova,EUR,0.738,ED,-0.9685626029968262,NO DATA,,,,1,,1,0,0,0,1,0,0,Huawei,0,0,0,0
Honduras,WHA,2021,0.393,0.239,EA,-0.31304535269737244,0.851,0.78,0.538,-0.397,-1.694,-1.676,-0.463,-1.634,Mongolia,EAP,0.628,ED,-0.814999520778656,NO DATA,,96.06748985981112,122.0,1,,0,1,1,0,1,0,0,Dahua,0,0,0,0
Hong Kong,EAP,2021,0.267,0.199,CA,0.8822396993637085,0.069,3.058,2.911,0.909,-0.523,-0.706,1.939,1.409,Namibia,AF,0.634,ED,-0.6857744455337524,NO DATA,,451.54650880912516,89.0,1,,0,1,1,0,0,0,Namibia,Otesa,0,0,0,0
Hungary,EUR,2021,0.462,0.362,EA,-0.5091547966003418,-0.489,0.866,1.38,-0.99,-1.786,-1.834,-1.007,-1.5,Panama,WHA,0.75,ED,-0.8160191774368286,NO DATA,,0.0,,1,,1,1,1,0,1,1,0,Huawei,FaceFirst,0,0,0
Iceland,EUR,2021,0.832,0.752,LD,-1.1737886667251587,-2.447,-1.763,0.262,-1.952,-1.502,-1.511,-1.726,-2.253,Paraguay,WHA,0.57,ED,-0.8057878613471985,NO DATA,,386.55638958634836,45.0,0,96.0,0,1,0,0,0,0,0,0,0,0,0,0
India,SCA,2021,0.444,0.357,EA,1.0128743648529053,0.697,0.772,1.091,1.038,2.081,1.278,0.747,1.209,Peru,WHA,0.759,ED,-0.9131074547767639,NO DATA,,2708.912280267126,54.0,1,38.0,0,1,1,0,1,0,Peru,Desarrollos Terrestres Perú,0,0,0,0
Indonesia,EAP,2021,0.585,0.428,ED,-0.08319711685180664,0.691,-0.573,0.021,0.001,-1.126,-0.058,-0.22,-0.62,Poland,EUR,0.585,ED,-0.6747467517852783,NO DATA,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0
Iran,MENA,2021,0.182,0.124,EA,1.5861632823944092,1.893,2.091,1.93,2.428,1.453,2.344,1.721,1.028,Romania,EUR,0.782,ED,-0.9463152289390564,NO DATA,,4608.673549837672,40.0,1,34.0,0,1,1,0,0,0,Japan,NEC,0,0,0,0
Iraq,MENA,2021,0.373,0.219,EA,0.6352831125259399,0.121,2.523,1.96,-0.203,0.868,0.356,-0.02,0.012,Slovenia,EUR,0.703,ED,-0.8709688782691956,NO DATA,,,,1,,0,0,1,0,0,0,0,0,0,0,0,0
Ireland,EUR,2021,0.885,0.82,LD,-1.1761937141418457,-1.577,-2.123,-2.606,-2.276,-1.721,-0.75,-2.013,-1.121,South Africa,AF,0.715,ED,-0.8079947233200073,FREE,73.0,3639.879164984507,48.0,1,43.0,1,1,1,1,1,0,0,Huawei,0,0,0,0
Israel,MENA,2021,0.739,0.653,LD,-0.25027185678482056,1.006,-0.422,0.069,-0.177,-0.776,-1.351,-0.351,-1.331,Sri Lanka,SCA,0.573,ED,0.42897844314575195,PARTLY FREE,51.0,,,1,,0,1,1,1,1,0,0,0,0,0,0,0
Italy,EUR,2021,0.851,0.773,LD,-1.096622109413147,-2.056,-1.724,-0.025,-1.299,-0.866,-1.807,-2.127,-2.419,Ukraine,EUR,0.517,ED,0.19774024188518524,PARTLY FREE,62.0,4750.219043996279,39.0,1,47.0,1,1,0,0,1,1,0,Huawei,Hikvision,Microsoft,0,0
Ivory Coast,AFR,2021,0.431,0.241,EA,0.1633661985397339,1.503,0.621,0.386,0.218,-1.731,-0.348,-0.079,0.592,Australia,EAP,0.854,LD,-0.896487295627594,FREE,75.0,26711.834224738464,13.0,0,5.0,1,1,1,1,1,1,"Japan, Australia",Palantir,NEC,CrowdOptic,iOmniscient,Hikvision
Jamaica,WHA,2021,0.806,0.69,ED,-1.063205599784851,0.025,-2.123,-2.285,-2.079,-1.625,-1.635,-1.807,-0.752,Belgium,EUR,0.885,LD,-1.3118640184402466,NO DATA,,,,0,,0,1,1,0,0,1,0,Briefcam (US),0,0,0,0
Japan,EAP,2021,0.835,0.736,LD,-1.1231129169464111,-1.598,-0.851,-1.109,-1.796,-1.815,-1.858,-1.661,-2.281,Botswana,AF,0.595,LD,-0.8648058176040649,NO DATA,,529.4810419848643,86.0,0,,1,0,1,0,1,0,0,Huawei,0,0,0,0
Jordan,MENA,2021,0.258,0.25,CA,0.23454661667346954,0.511,0.908,-1.109,0.953,-0.675,-0.944,0.567,0.402,Canada,WHA,0.857,LD,-1.3299667835235596,FREE,87.0,21620.598711982708,14.0,0,8.0,0,1,1,1,0,1,0,Avigilon,Palantir,Salesforce,0,0
Kazakhstan,SCA,2021,0.257,0.128,EA,1.1713413000106812,0.779,1.707,1.653,1.559,1.189,1.523,1.353,0.916,Chile,WHA,0.834,LD,-0.937402069568634,NO DATA,,5570.724562665607,34.0,1,9.0,0,1,1,0,1,0,0,Huawei,0,0,0,0
Kenya,AFR,2021,0.471,0.4,EA,-0.1777755171060562,0.696,0.465,0.142,-0.873,-1.244,-1.242,0.048,-0.475,Denmark,EUR,0.908,LD,-1.5376280546188354,NO DATA,,4228.1942540224945,42.0,0,17.0,1,1,1,0,1,1,"Australia, Denmark",Palantir,BrainChip,Hikvision,Leapcraft,Cisco
